단축코드,한글 종목약명,상장주식수
448740,삼성스팩8호,4664000
468510,삼성스팩9호,11050000
02826K,삼성물산우B,1467590
28260,삼성물산,177784107
207940,삼성바이오로직스,71174000
32830,삼성생명,200000000
18260,삼성에스디에스,77377800
9155,삼성전기우,2906984
9150,삼성전기,74693696
5935,삼성전자우,822886700
5930,삼성전자,5969782550
1360,삼성제약,94162079
10140,삼성중공업,880000000
16360,삼성증권,89300000
68290,삼성출판사,10000000
29780,삼성카드,115858891
815,삼성화재우,3192000
810,삼성화재,47374837
6110,삼아알미늄,14711916
9300,삼아제약,6370000
145995,삼양사우,370070
145990,삼양사,10313449
3230,삼양식품,7533015
2170,삼양통상,3000000
272550,삼양패키징,15788671
75,삼양홀딩스우,304058
70,삼양홀딩스,8564271
60310,3S,48536642
2810,삼영무역,18466948
3720,삼영,34000000
361670,삼영에스앤씨,5667658
54540,삼영엠텍,13000000
65570,삼영이엔씨,12682996
5680,삼영전자,20000000
23000,삼원강재,40000000
4380,삼익THK,21000000
2450,삼익악기,90530915
32280,삼일,16213590
2290,삼일기업공사,12400000
4440,삼일씨엔에스,12731947
520,삼일제약,20871467
9770,삼정펄프,2499971
37460,삼지전자,16318522
32750,삼진,9031122
54090,삼진엘앤디,24959232
5500,삼진제약,13900000
250,삼천당제약,23457472
4690,삼천리,4055025
24950,삼천리자전거,13273577
38500,삼표시멘트,107916306
437730,삼현,10569189
17480,삼현철강,15702890
10960,삼호개발,25000000
46390,삼화네트웍스,43172933
4450,삼화왕관,2154379
9470,삼화전기,6613820
11230,삼화전자,16902700
1820,삼화콘덴서,10395000
390,삼화페인트,27203469
27580,상보,59181279
38540,상상인,55328313
101000,상상인인더스트리,28296199
415580,상상인제3호스팩,5310000
452670,상상인제4호스팩,5220000
1290,상상인증권,108337120
41650,상신브레이크,21471450
91580,상신이디피,13428219
263810,상신전자,14244718
89980,상아프론테크,15989037
42940,상지건설,119454440
42600,새로닉스,12423574
75180,새론오토모티브,19200000
107600,새빗켐,4861545
411080,샌즈랩,15248638
252990,샘씨엔에스,58388063
7540,샘표,2875800
248170,샘표식품,4568286
378800,샤페론,23071031
294630,서남,23538459
38070,서린바이오,8900676
6730,서부T&D,67426923
79650,서산,20000000
100660,서암기계공업,12600000
7860,서연,23479844
200880,서연이화,27028437
19770,서연탑메탈,11650000
17390,서울가스,5000000
43710,서울리거,50198880
92190,서울바이오시스,45868383
46890,서울반도체,58305400
4415,서울식품우,2224500
4410,서울식품,374755559
63170,서울옥션,17774267
27040,서울전자통신,69588847
18680,서울제약,11659319
21050,서원,47474590
93920,서원인텍,18600000
189860,서전기전,9698780
178320,서진시스템,48042851
122690,서진오토모티브,21844410
140070,서플러스글로벌,36988000
11370,서한,100894865
65710,서호전기,5150000
8490,서흥,11569113
35890,서희건설,229808457
357550,석경에이티,5455000
3100,선광,6600000
7610,선도전기,18000000
67370,선바이오,12313555
2820,SUN&L,12607989
171090,선익시스템,9494405
136490,선진,23779604
86710,선진뷰티사이언스,12203280
14620,성광벤드,28600000
37350,성도이엔지,15470000
14915,성문전자우,600000
14910,성문전자,22460985
3080,성보화학,20020000
4985,성신양회우,735645
4980,성신양회,24516073
11300,성안머티리얼스,70551785
81580,성우전자,15508143
45300,성우테크론,10151583
15750,성우하이텍,80000000
365340,성일하이텍,12104890
180,성창기업지주,69751600
80470,성창오토텍,7300000
43260,성호전자,57149531
148150,세경하이테크,35663750
2420,세기상사,5558848
188260,세니젠,7157710
53060,세동,17657419
340440,세림B&G,28378364
17510,세명전기,15246000
4365,세방우,3689250
4360,세방,19308690
4490,세방전지,14000000
11560,세보엠이씨,10530000
267080,세븐브로이맥주,11871408
396300,세아메카닉스,26489500
1430,세아베스틸지주,35862119
306200,세아제강,2836300
3030,세아제강지주,4141657
19440,세아특수강,8570000
58650,세아홀딩스,4000000
13000,세우글로벌,28705031
100700,세운메디칼,43800000
24830,세원물산,8350000
91090,세원이앤씨,43180255
21820,세원정공,10000000
